date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:34	383613/383613	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/jpg/other-services-2.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/other-services-2.jpg	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:35	299122/299122	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/jpg/our-numbers.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/our-numbers.jpg	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:35	325122/325122	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/jpg/our-specialists-women.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/our-specialists-women.jpg	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:35	82114/82114	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/jpg/latest-news-men.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/latest-news-men.jpg	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:35	91022/91022	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/jpg/latest-news-women.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/latest-news-women.jpg	(from https://ibnsino.getmytemplate.com/index2.html)
10:20:38	807410/807410	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20May%202020%2010:37:08%20GMT	https://ibnsino.getmytemplate.com/images/banner/banner3-2.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/banner/banner3-2.jpg	(from https://ibnsino.getmytemplate.com/index3.html)
10:20:38	613496/613496	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2021:39:08%20GMT	https://ibnsino.getmytemplate.com/images/banner/banner3-1.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/banner/banner3-1.jpg	(from https://ibnsino.getmytemplate.com/index3.html)
10:20:39	1058956/1058956	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20May%202020%2010:37:08%20GMT	https://ibnsino.getmytemplate.com/images/banner/banner3-3.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/banner/banner3-3.jpg	(from https://ibnsino.getmytemplate.com/index3.html)
10:20:40	8164/8164	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jul%202020%2020:17:36%20GMT	https://ibnsino.getmytemplate.com/images/icons/qu-2.png	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/icons/qu-2.png	(from https://ibnsino.getmytemplate.com/index3.html)
10:20:41	548735/548735	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20May%202020%2010:37:06%20GMT	https://ibnsino.getmytemplate.com/images/jpg/about-img-2.jpg	H:/Web%20Dev/projects/ShifaKhana/ibn%20sino/ibnsino.getmytemplate.com/images/jpg/about-img-2.jpg	(from https://ibnsino.getmytemplate.com/index3.html)
